SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
4112303,0,0,0,0,0,0,0,0,0,6,3,0,9,0,3,3,16,10,0,25
4112304,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,9,0,9
4112305,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,4,0,8
4112306,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,0,4
4112307,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,9,7,0,11
4112308,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,0,8,5,0,15
4112309,0,0,0,0,0,0,0,0,0,3,0,0,9,3,0,3,10,3,0,15
4112310,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,6,0,5
4112401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4112402,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,6
4112403,0,0,0,0,0,0,0,0,0,8,9,0,14,3,3,4,18,13,0,25
4112404,0,0,0,0,0,0,0,0,0,4,4,0,10,0,0,0,10,8,0,11
4112405,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,9,11,0,15
4112406,0,0,0,0,0,0,0,0,0,4,9,0,9,0,3,3,9,6,0,18
4112407,0,0,0,0,0,0,0,0,0,8,12,0,22,4,0,3,21,15,0,36
4112408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
4112409,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,9,4,0,16
4112410,0,0,0,0,0,0,0,0,3,9,5,0,17,0,0,3,22,10,3,28
4112411,0,0,0,0,0,0,0,0,0,4,4,0,13,0,0,0,14,8,0,19
4112412,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,9,0,14
4112413,0,0,0,0,0,0,0,0,0,7,4,0,6,0,5,4,9,6,0,23
4112414,0,0,0,0,0,0,0,0,0,5,8,0,7,0,0,0,13,3,0,12
4112501,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,11
4112502,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,4,8,0,10
4112503,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,7,11,0,15
4112504,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,0,5,3,0,13
4112505,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,5,11,0,18
4112506,0,0,0,0,0,0,0,0,0,3,6,0,9,0,0,0,14,4,0,13
4112507,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,0,3,7,0,15
4112508,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,6,10,0,9
4112509,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,8,8,0,14
4112510,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,10,0,0,12
4112511,0,0,0,0,0,0,0,0,0,4,6,0,16,0,0,0,13,3,0,17
4112512,0,0,0,0,0,0,0,0,0,6,3,0,4,0,0,0,7,8,0,14
4112601,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,0,10
4112602,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,6,8,0,9
4112603,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,11,14,0,24
4112604,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,4,3,0,8
4112605,0,0,0,0,0,0,0,0,0,5,4,0,8,0,0,0,11,11,0,18
4112606,0,0,0,0,0,0,0,0,0,0,3,0,4,4,8,10,14,15,0,30
4112607,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,8,17,0,29
4112608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
4112609,0,0,0,0,0,0,0,0,0,4,6,0,16,0,0,3,17,14,0,33
4112610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4112611,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,0,14
4112701,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,9
4112702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
4112703,0,0,0,0,0,0,0,0,0,3,10,0,7,0,0,0,7,0,0,11
